customer_id,product_id,interaction_type,interaction_date,rating
CUST000133,PROD0011,viewed,2024-06-09,3
CUST003567,PROD0011,viewed,2025-07-09,1
CUST002023,PROD0010,purchased,2025-08-19,5
CUST000413,PROD0003,viewed,2024-12-10,1
CUST003063,PROD0009,viewed,2024-08-17,2
CUST004505,PROD0005,purchased,2024-03-04,5
CUST003760,PROD0002,viewed,2024-11-05,3
CUST001782,PROD0008,clicked,2025-12-07,3
CUST001272,PROD0003,clicked,2025-07-23,1
CUST000209,PROD0002,clicked,2025-05-14,1
CUST001692,PROD0023,clicked,2024-05-22,3
CUST003804,PROD0006,clicked,2025-01-13,4
CUST004706,PROD0015,applied,2025-10-06,4
CUST000358,PROD0011,clicked,2024-04-25,2
CUST003949,PROD0010,clicked,2025-02-15,1
CUST001680,PROD0011,viewed,2025-10-08,1
CUST000501,PROD0019,clicked,2025-07-15,3
CUST003911,PROD0022,viewed,2025-11-06,2
CUST004135,PROD0013,viewed,2024-01-18,2
CUST004404,PROD0001,applied,2025-12-15,2
CUST000977,PROD0015,viewed,2024-03-09,2
CUST003069,PROD0009,purchased,2024-09-11,4
CUST002751,PROD0023,clicked,2025-03-11,1
CUST001760,PROD0022,purchased,2025-05-22,5
CUST004226,PROD0011,viewed,2025-07-04,2
CUST004932,PROD0009,purchased,2024-12-22,5
CUST002668,PROD0014,viewed,2025-04-30,1
CUST001347,PROD0004,purchased,2024-01-26,5
CUST001941,PROD0013,clicked,2024-02-07,3
CUST000686,PROD0021,viewed,2024-12-09,1
CUST001488,PROD0001,viewed,2024-02-07,1
CUST001994,PROD0008,applied,2024-02-29,3
CUST001453,PROD0007,clicked,2024-03-22,3
CUST004411,PROD0016,viewed,2024-01-07,4
CUST000737,PROD0023,clicked,2025-04-07,4
CUST004934,PROD0010,clicked,2024-03-24,3
CUST000838,PROD0025,clicked,2025-06-23,3
CUST001496,PROD0006,clicked,2024-06-08,3
CUST002714,PROD0018,viewed,2025-10-23,4
CUST002531,PROD0015,applied,2025-01-15,3
CUST002330,PROD0010,viewed,2024-12-23,4
CUST004094,PROD0011,viewed,2025-07-22,4
CUST004804,PROD0012,applied,2024-10-07,1
CUST001919,PROD0017,clicked,2024-09-28,1
CUST001111,PROD0013,viewed,2025-06-01,2
CUST000629,PROD0014,viewed,2024-10-02,1
CUST003057,PROD0019,applied,2025-10-28,2
CUST002962,PROD0003,clicked,2025-08-31,2
CUST004207,PROD0019,viewed,2024-01-13,4
CUST000441,PROD0007,clicked,2024-05-07,1
CUST002676,PROD0017,clicked,2025-10-27,1
CUST004038,PROD0022,clicked,2024-07-21,1
CUST003297,PROD0008,viewed,2025-12-01,3
CUST002580,PROD0011,viewed,2025-09-27,2
CUST004036,PROD0001,clicked,2025-10-25,3
CUST004029,PROD0010,viewed,2024-10-11,4
CUST001271,PROD0005,purchased,2024-10-05,5
CUST004603,PROD0003,clicked,2025-11-10,1
CUST002792,PROD0005,viewed,2025-03-18,1
CUST001893,PROD0021,viewed,2024-12-17,3
CUST004880,PROD0020,purchased,2025-07-06,4
CUST000469,PROD0005,clicked,2024-03-23,1
CUST001870,PROD0012,viewed,2025-04-30,4
CUST001983,PROD0025,applied,2025-05-02,3
CUST003124,PROD0014,viewed,2024-03-30,4
CUST004364,PROD0005,viewed,2024-02-05,4
CUST000036,PROD0023,applied,2024-09-03,4
CUST004614,PROD0017,purchased,2024-11-25,5
CUST004955,PROD0003,viewed,2024-12-07,2
CUST002758,PROD0008,viewed,2025-02-22,1
CUST000701,PROD0004,viewed,2025-10-04,2
CUST001459,PROD0019,viewed,2024-12-07,2
CUST001762,PROD0019,viewed,2024-12-07,3
CUST002741,PROD0007,viewed,2024-03-01,4
CUST003383,PROD0001,viewed,2024-07-16,3
CUST000088,PROD0013,viewed,2025-06-29,1
CUST003222,PROD0003,clicked,2025-11-27,3
CUST000910,PROD0022,clicked,2024-01-06,2
CUST000259,PROD0013,viewed,2025-06-17,3
CUST001487,PROD0012,viewed,2025-11-10,1
CUST001849,PROD0020,clicked,2024-05-05,2
CUST000162,PROD0009,viewed,2024-08-10,2
CUST001880,PROD0013,viewed,2024-10-04,4
CUST004270,PROD0009,clicked,2024-11-25,1
CUST003367,PROD0017,purchased,2025-09-16,4
CUST001511,PROD0011,viewed,2024-10-30,4
CUST004850,PROD0003,viewed,2024-09-23,1
CUST000789,PROD0001,clicked,2025-05-09,2
CUST002577,PROD0021,purchased,2025-12-18,5
CUST003745,PROD0001,purchased,2025-05-23,5
CUST002240,PROD0015,clicked,2025-10-22,3
CUST004394,PROD0005,purchased,2025-09-12,4
CUST001587,PROD0021,purchased,2024-08-25,5
CUST002572,PROD0016,clicked,2024-02-23,3
CUST003876,PROD0018,viewed,2025-12-12,1
CUST001833,PROD0006,purchased,2025-10-07,4
CUST001152,PROD0023,applied,2024-10-06,1
CUST002920,PROD0025,viewed,2025-05-25,4
CUST002491,PROD0007,viewed,2024-12-01,2
CUST003778,PROD0001,viewed,2024-05-18,3
CUST002478,PROD0012,clicked,2025-01-02,4
CUST003947,PROD0014,applied,2024-05-05,2
CUST003187,PROD0017,applied,2025-05-22,3
CUST002978,PROD0016,viewed,2025-04-08,2
CUST000548,PROD0013,clicked,2025-03-16,1
CUST001851,PROD0020,purchased,2025-08-22,4
CUST003193,PROD0004,clicked,2024-07-20,1
CUST001247,PROD0001,viewed,2024-04-27,3
CUST000983,PROD0008,viewed,2025-11-20,2
CUST001525,PROD0004,viewed,2024-03-02,4
CUST001957,PROD0007,clicked,2024-01-15,1
CUST002799,PROD0003,clicked,2025-04-13,1
CUST002871,PROD0014,viewed,2025-08-30,4
CUST002526,PROD0024,viewed,2025-09-19,1
CUST001707,PROD0011,viewed,2025-08-18,2
CUST003972,PROD0009,viewed,2025-11-07,3
CUST003322,PROD0021,viewed,2025-02-12,2
CUST002081,PROD0009,purchased,2025-02-12,5
CUST002920,PROD0013,clicked,2024-04-03,1
CUST002525,PROD0011,viewed,2024-04-03,2
CUST003861,PROD0016,applied,2025-11-15,1
CUST002564,PROD0003,viewed,2025-03-19,1
CUST000038,PROD0016,viewed,2025-12-08,2
CUST001711,PROD0014,viewed,2025-04-19,2
CUST000937,PROD0001,purchased,2025-09-14,4
CUST001503,PROD0017,purchased,2024-05-04,5
CUST001266,PROD0014,viewed,2025-08-12,4
CUST003928,PROD0019,viewed,2024-12-17,2
CUST003472,PROD0008,viewed,2025-09-18,2
CUST002972,PROD0007,viewed,2024-02-04,4
CUST002371,PROD0008,purchased,2025-06-29,4
CUST000291,PROD0019,applied,2025-02-09,4
CUST001869,PROD0024,clicked,2025-12-22,2
CUST000799,PROD0007,clicked,2025-10-17,3
CUST001574,PROD0013,applied,2025-10-21,2
CUST003814,PROD0014,clicked,2025-05-30,1
CUST000568,PROD0007,clicked,2024-07-18,4
CUST001177,PROD0003,clicked,2025-02-27,2
CUST003184,PROD0019,viewed,2024-07-13,4
CUST001423,PROD0022,applied,2025-11-29,4
CUST001191,PROD0005,viewed,2025-03-05,3
CUST003949,PROD0011,viewed,2024-07-06,2
CUST004587,PROD0012,purchased,2024-08-12,4
CUST001077,PROD0014,clicked,2025-09-15,4
CUST004181,PROD0005,viewed,2025-03-21,1
CUST003398,PROD0009,purchased,2025-07-31,4
CUST000156,PROD0013,clicked,2024-08-08,2
CUST004631,PROD0024,purchased,2025-03-14,5
CUST004250,PROD0005,viewed,2024-02-17,1
CUST003715,PROD0020,viewed,2025-08-03,4
CUST000869,PROD0004,applied,2024-11-06,1
CUST004765,PROD0004,applied,2024-01-07,4
CUST003087,PROD0003,viewed,2025-01-17,3
CUST004034,PROD0007,viewed,2024-12-27,2
CUST000730,PROD0012,viewed,2025-08-18,2
CUST002675,PROD0009,purchased,2024-10-16,5
CUST002111,PROD0007,purchased,2024-09-07,4
CUST004270,PROD0001,viewed,2024-11-06,3
CUST002969,PROD0005,clicked,2024-07-02,4
CUST001486,PROD0015,viewed,2025-08-28,4
CUST002993,PROD0009,viewed,2025-10-29,4
CUST004617,PROD0016,viewed,2024-06-24,3
CUST001381,PROD0023,viewed,2025-10-28,3
CUST000252,PROD0016,viewed,2025-09-11,3
CUST003187,PROD0019,purchased,2024-04-29,4
CUST004866,PROD0014,clicked,2024-04-02,4
CUST000427,PROD0002,applied,2025-03-20,3
CUST000009,PROD0001,viewed,2024-01-09,3
CUST002627,PROD0008,viewed,2024-10-18,3
CUST002760,PROD0017,viewed,2024-04-29,3
CUST004731,PROD0021,viewed,2025-02-16,1
CUST000733,PROD0017,viewed,2024-12-26,3
CUST003514,PROD0012,purchased,2024-06-04,4
CUST001600,PROD0020,viewed,2024-12-02,3
CUST004447,PROD0016,clicked,2024-12-03,4
CUST000514,PROD0015,viewed,2024-11-19,1
CUST001860,PROD0022,viewed,2024-12-16,3
CUST003162,PROD0024,viewed,2024-01-06,2
CUST004420,PROD0002,viewed,2024-01-20,4
CUST000296,PROD0021,clicked,2024-12-08,2
CUST004448,PROD0005,viewed,2025-12-28,4
CUST002879,PROD0017,viewed,2024-01-19,4
CUST003331,PROD0011,viewed,2024-03-24,4
CUST002836,PROD0012,applied,2024-11-28,3
CUST001921,PROD0008,viewed,2024-08-19,2
CUST002966,PROD0007,clicked,2024-01-22,4
CUST002499,PROD0011,clicked,2024-09-05,1
CUST004943,PROD0008,clicked,2024-12-29,2
CUST003994,PROD0022,purchased,2024-03-27,5
CUST004667,PROD0021,clicked,2024-11-22,3
CUST004694,PROD0012,viewed,2024-11-29,4
CUST000954,PROD0023,viewed,2024-12-11,1
CUST000262,PROD0009,viewed,2025-11-17,3
CUST001898,PROD0002,applied,2024-05-03,1
CUST001580,PROD0004,applied,2025-07-11,3
CUST004028,PROD0010,purchased,2025-09-14,5
CUST000477,PROD0006,purchased,2025-09-20,4
CUST001318,PROD0015,purchased,2025-10-09,4
CUST003514,PROD0025,clicked,2025-03-17,3
CUST004971,PROD0021,clicked,2025-10-31,3
CUST003732,PROD0009,applied,2025-10-19,1
CUST001989,PROD0013,viewed,2025-01-30,4
CUST004123,PROD0003,viewed,2024-10-01,2
CUST001909,PROD0013,clicked,2024-05-21,3
CUST001249,PROD0005,purchased,2024-04-15,4
CUST000801,PROD0008,viewed,2024-08-29,2
CUST004991,PROD0005,applied,2025-10-24,1
CUST000823,PROD0016,viewed,2025-10-25,2
CUST004789,PROD0004,clicked,2025-10-08,2
CUST003105,PROD0011,purchased,2025-04-13,5
CUST002356,PROD0015,purchased,2025-05-26,4
CUST002882,PROD0001,applied,2024-09-21,4
CUST003999,PROD0025,clicked,2025-07-11,3
CUST003595,PROD0025,purchased,2024-01-18,4
CUST004428,PROD0009,clicked,2025-07-13,1
CUST000263,PROD0016,purchased,2024-05-24,5
CUST000775,PROD0017,applied,2024-09-04,4
CUST001458,PROD0001,purchased,2025-08-05,5
CUST004234,PROD0003,purchased,2025-08-20,4
CUST001565,PROD0011,viewed,2025-12-07,1
CUST001104,PROD0007,clicked,2025-04-01,4
CUST004599,PROD0014,applied,2024-01-22,1
CUST004431,PROD0001,viewed,2025-09-26,4
CUST004750,PROD0011,purchased,2024-05-06,5
CUST003474,PROD0013,clicked,2024-04-17,1
CUST003168,PROD0024,clicked,2024-06-27,2
CUST004584,PROD0009,viewed,2025-09-21,3
CUST002091,PROD0010,viewed,2025-11-09,2
CUST004570,PROD0009,clicked,2025-08-02,4
CUST001309,PROD0006,viewed,2024-05-25,2
CUST002029,PROD0008,purchased,2024-08-01,4
CUST004967,PROD0004,clicked,2024-05-22,3
CUST004443,PROD0005,viewed,2025-05-29,2
CUST000649,PROD0009,clicked,2024-06-19,2
CUST000868,PROD0022,clicked,2024-08-03,2
CUST001313,PROD0002,viewed,2024-06-08,3
CUST002904,PROD0008,viewed,2025-12-16,3
CUST004142,PROD0002,viewed,2024-08-14,3
CUST003676,PROD0001,viewed,2025-11-05,1
CUST000785,PROD0006,clicked,2024-01-28,4
CUST001006,PROD0012,purchased,2025-11-30,5
CUST003296,PROD0001,clicked,2024-01-15,2
CUST003587,PROD0013,viewed,2024-05-31,2
CUST000157,PROD0016,purchased,2024-08-28,4
CUST003019,PROD0016,viewed,2024-04-02,1
CUST002024,PROD0002,viewed,2024-06-30,3
CUST002994,PROD0022,viewed,2025-03-25,3
CUST002024,PROD0023,viewed,2024-08-17,2
CUST004472,PROD0018,clicked,2024-09-17,4
CUST001473,PROD0005,clicked,2025-11-07,3
CUST003949,PROD0021,clicked,2024-03-02,2
CUST001023,PROD0005,purchased,2024-05-01,4
CUST000858,PROD0012,applied,2024-06-15,1
CUST004223,PROD0008,viewed,2025-06-21,3
CUST001427,PROD0002,applied,2025-03-14,4
CUST003541,PROD0006,viewed,2024-01-25,2
CUST004938,PROD0015,viewed,2025-03-15,1
CUST000372,PROD0023,purchased,2024-05-12,4
CUST003283,PROD0014,viewed,2025-04-08,2
CUST003673,PROD0009,viewed,2025-11-10,2
CUST004804,PROD0001,viewed,2024-09-18,2
CUST000454,PROD0005,clicked,2025-04-06,2
CUST002430,PROD0004,viewed,2025-09-25,3
CUST001735,PROD0011,viewed,2024-08-11,4
CUST003146,PROD0013,viewed,2025-11-14,1
CUST002062,PROD0014,applied,2024-08-16,2
CUST004247,PROD0001,viewed,2024-05-18,1
CUST004213,PROD0011,viewed,2024-03-31,3
CUST002793,PROD0010,viewed,2025-02-15,1
CUST004569,PROD0004,purchased,2025-07-14,5
CUST002922,PROD0022,clicked,2025-10-16,3
CUST001277,PROD0012,purchased,2024-09-13,4
CUST003241,PROD0023,purchased,2024-03-21,5
CUST004698,PROD0007,viewed,2024-08-12,3
CUST002526,PROD0025,viewed,2025-07-01,2
CUST004998,PROD0016,clicked,2025-12-18,3
CUST003729,PROD0022,clicked,2024-09-08,3
CUST003651,PROD0025,viewed,2024-01-30,3
CUST004535,PROD0013,purchased,2024-12-19,4
CUST004953,PROD0017,clicked,2024-01-07,3
CUST001654,PROD0009,viewed,2025-01-30,3
CUST003150,PROD0009,viewed,2024-03-15,3
CUST002245,PROD0011,applied,2024-07-31,4
CUST003169,PROD0007,clicked,2024-12-28,1
CUST004701,PROD0014,clicked,2024-03-01,4
CUST004287,PROD0010,viewed,2024-12-12,3
CUST003208,PROD0007,clicked,2025-05-11,4
CUST001062,PROD0025,viewed,2025-11-09,4
CUST002676,PROD0023,viewed,2024-12-11,4
CUST001352,PROD0003,applied,2024-05-01,1
CUST002948,PROD0021,viewed,2024-11-30,2
CUST004678,PROD0019,clicked,2024-04-26,3
CUST000808,PROD0011,clicked,2025-01-19,4
CUST003678,PROD0006,viewed,2025-08-06,2
CUST000560,PROD0025,purchased,2025-02-15,4
CUST003656,PROD0019,viewed,2024-09-28,2
CUST001975,PROD0018,applied,2024-02-10,2
CUST001058,PROD0006,clicked,2025-01-20,3
CUST003042,PROD0009,viewed,2024-06-24,1
CUST003127,PROD0001,purchased,2024-04-18,4
CUST002769,PROD0002,viewed,2025-01-16,2
CUST000087,PROD0022,viewed,2025-11-02,2
CUST004310,PROD0018,applied,2025-11-17,3
CUST003674,PROD0025,viewed,2024-03-02,3
CUST000751,PROD0016,applied,2024-08-20,3
CUST000582,PROD0004,viewed,2025-10-05,2
CUST004591,PROD0001,viewed,2024-10-31,4
CUST003252,PROD0011,clicked,2024-02-20,4
CUST002385,PROD0007,viewed,2024-02-06,2
CUST003064,PROD0002,viewed,2025-05-10,1
CUST000567,PROD0009,viewed,2024-06-27,3
CUST003878,PROD0012,viewed,2024-05-06,4
CUST002463,PROD0024,applied,2024-06-28,4
CUST002918,PROD0021,clicked,2024-04-09,2
CUST001756,PROD0004,clicked,2024-12-13,4
CUST001461,PROD0006,viewed,2025-04-27,2
CUST003100,PROD0003,purchased,2024-11-03,4
CUST003672,PROD0022,viewed,2025-03-08,4
CUST000868,PROD0011,viewed,2024-11-28,3
CUST004839,PROD0025,viewed,2025-03-29,2
CUST002821,PROD0012,viewed,2025-01-29,1
CUST001702,PROD0020,purchased,2024-02-22,5
CUST003959,PROD0019,clicked,2024-05-06,3
CUST003304,PROD0008,clicked,2024-01-11,2
CUST004680,PROD0013,purchased,2025-02-05,4
CUST004690,PROD0013,viewed,2025-06-09,4
CUST001291,PROD0012,viewed,2025-01-22,1
CUST003452,PROD0013,purchased,2025-03-28,4
CUST003221,PROD0014,viewed,2025-02-02,1
CUST000466,PROD0004,clicked,2024-03-20,2
CUST000284,PROD0013,viewed,2024-11-29,3
CUST004870,PROD0008,clicked,2024-03-05,1
CUST000349,PROD0021,viewed,2025-02-10,1
CUST001398,PROD0024,viewed,2025-10-10,4
CUST001167,PROD0011,applied,2024-06-02,1
CUST003342,PROD0018,purchased,2024-08-30,4
CUST002261,PROD0025,clicked,2025-12-15,4
CUST003889,PROD0002,viewed,2024-01-30,4
CUST002614,PROD0012,viewed,2024-05-16,2
CUST002366,PROD0003,purchased,2024-10-20,5
CUST002934,PROD0017,clicked,2024-07-11,1
CUST001948,PROD0017,applied,2025-03-21,3
CUST002205,PROD0003,clicked,2025-08-28,3
CUST004076,PROD0022,purchased,2024-11-06,5
CUST004203,PROD0006,viewed,2024-03-21,1
CUST003113,PROD0008,viewed,2025-07-28,2
CUST001570,PROD0017,applied,2024-10-03,4
CUST002202,PROD0007,purchased,2024-04-26,5
CUST001100,PROD0001,viewed,2025-10-01,1
CUST002893,PROD0013,applied,2024-08-12,1
CUST002546,PROD0013,clicked,2025-01-10,2
CUST001512,PROD0015,purchased,2025-10-24,4
CUST003113,PROD0021,clicked,2025-09-03,4
CUST002408,PROD0021,viewed,2024-04-26,4
CUST003112,PROD0003,purchased,2025-05-12,4
CUST000989,PROD0025,clicked,2024-02-23,3
CUST000377,PROD0011,viewed,2024-03-20,4
CUST002349,PROD0004,viewed,2025-10-28,1
CUST003667,PROD0002,viewed,2025-09-30,3
CUST001922,PROD0019,applied,2024-09-15,1
CUST000262,PROD0011,viewed,2024-10-02,3
CUST001270,PROD0020,viewed,2025-07-17,3
CUST002733,PROD0012,viewed,2025-03-17,2
CUST001700,PROD0017,viewed,2025-11-06,1
CUST000882,PROD0001,viewed,2024-08-24,3
CUST001677,PROD0010,applied,2025-05-15,3
CUST000881,PROD0004,clicked,2025-07-08,1
CUST001238,PROD0002,viewed,2024-09-13,3
CUST004878,PROD0010,viewed,2025-03-17,2
CUST004843,PROD0020,clicked,2024-03-14,4
CUST004651,PROD0003,viewed,2024-12-24,3
CUST004000,PROD0022,purchased,2024-06-19,5
CUST001548,PROD0021,viewed,2025-04-15,2
CUST000348,PROD0017,viewed,2025-11-23,2
CUST004062,PROD0017,clicked,2024-12-21,3
CUST001955,PROD0006,viewed,2025-07-17,2
CUST001293,PROD0022,applied,2024-01-07,4
CUST000518,PROD0011,viewed,2025-12-22,1
CUST001212,PROD0015,purchased,2025-11-21,5
CUST002102,PROD0013,viewed,2024-05-31,3
CUST001683,PROD0005,purchased,2025-06-21,4
CUST000110,PROD0020,viewed,2024-01-31,2
CUST004050,PROD0006,clicked,2025-12-22,4
CUST003310,PROD0024,viewed,2024-07-14,3
CUST003898,PROD0023,applied,2024-04-14,4
CUST003589,PROD0007,viewed,2025-03-23,3
CUST001420,PROD0002,clicked,2024-08-19,4
CUST001409,PROD0004,viewed,2024-03-16,3
CUST000654,PROD0024,clicked,2024-10-31,1
CUST004444,PROD0011,purchased,2025-05-20,4
CUST000453,PROD0014,clicked,2025-11-30,4
CUST003823,PROD0012,viewed,2025-10-27,1
CUST003456,PROD0023,purchased,2024-10-11,4
CUST004850,PROD0004,viewed,2024-03-29,4
CUST000596,PROD0016,applied,2025-05-15,4
CUST003552,PROD0009,viewed,2024-03-30,4
CUST002172,PROD0021,clicked,2024-07-20,3
CUST001079,PROD0004,clicked,2024-10-21,2
CUST002012,PROD0020,viewed,2025-02-23,2
CUST003336,PROD0010,clicked,2025-11-07,2
CUST001280,PROD0019,clicked,2024-07-08,4
CUST001000,PROD0008,viewed,2024-09-07,1
CUST001019,PROD0010,applied,2025-10-17,4
CUST002133,PROD0013,clicked,2024-07-02,3
CUST003222,PROD0016,viewed,2024-06-02,1
CUST000036,PROD0008,purchased,2025-12-27,5
CUST004944,PROD0021,viewed,2025-04-19,4
CUST002700,PROD0018,clicked,2024-09-06,3
CUST004743,PROD0012,viewed,2025-09-18,4
CUST002753,PROD0009,clicked,2024-01-03,1
CUST001059,PROD0012,clicked,2025-10-08,3
CUST003027,PROD0009,viewed,2025-03-15,1
CUST001307,PROD0013,viewed,2024-01-15,2
CUST001314,PROD0014,clicked,2024-02-02,2
CUST002594,PROD0023,viewed,2025-02-17,4
CUST001887,PROD0002,clicked,2024-10-21,1
CUST004104,PROD0008,viewed,2024-03-19,2
CUST001435,PROD0008,purchased,2025-06-11,5
CUST004223,PROD0016,clicked,2025-01-03,4
CUST002568,PROD0018,viewed,2024-06-13,1
CUST002678,PROD0021,purchased,2025-03-21,4
CUST003538,PROD0010,purchased,2024-11-27,4
CUST003073,PROD0012,applied,2024-05-08,4
CUST001807,PROD0022,viewed,2024-08-06,3
CUST001287,PROD0005,viewed,2025-04-14,1
CUST002902,PROD0001,applied,2025-02-13,4
CUST000961,PROD0024,clicked,2025-06-03,4
CUST001467,PROD0021,applied,2025-01-02,1
CUST001599,PROD0013,viewed,2025-01-15,2
CUST001811,PROD0011,viewed,2024-11-04,2
CUST004189,PROD0011,viewed,2024-03-17,2
CUST001273,PROD0021,clicked,2024-03-23,2
CUST004192,PROD0023,viewed,2024-06-30,4
CUST001178,PROD0021,viewed,2025-04-11,4
CUST000207,PROD0018,clicked,2024-04-01,4
CUST001908,PROD0004,purchased,2025-03-06,5
CUST004414,PROD0017,viewed,2025-06-02,1
CUST001210,PROD0009,clicked,2025-05-08,4
CUST003860,PROD0014,purchased,2024-08-31,5
CUST004862,PROD0023,applied,2025-07-04,2
CUST000015,PROD0021,clicked,2025-03-20,1
CUST000836,PROD0003,viewed,2024-04-25,2
CUST002665,PROD0010,viewed,2025-06-08,4
CUST000189,PROD0022,viewed,2025-12-04,2
CUST003188,PROD0024,applied,2024-09-14,3
CUST003230,PROD0020,clicked,2025-03-03,4
CUST004973,PROD0016,applied,2025-07-10,2
CUST004889,PROD0003,purchased,2024-05-29,5
CUST000432,PROD0021,viewed,2025-03-24,2
CUST003616,PROD0016,clicked,2025-03-31,2
CUST002395,PROD0001,viewed,2025-02-19,4
CUST004051,PROD0012,viewed,2025-04-15,4
CUST000543,PROD0017,clicked,2024-06-17,3
CUST002727,PROD0019,viewed,2025-02-27,1
CUST001265,PROD0012,clicked,2024-08-22,1
CUST002105,PROD0009,clicked,2024-08-11,4
CUST004027,PROD0011,clicked,2025-04-24,2
CUST000891,PROD0014,clicked,2024-10-01,4
CUST004251,PROD0009,viewed,2025-01-20,1
CUST001725,PROD0018,viewed,2025-03-25,1
CUST002848,PROD0009,viewed,2025-12-10,3
CUST004162,PROD0006,clicked,2025-11-01,2
CUST002406,PROD0024,viewed,2024-10-12,3
CUST001234,PROD0022,viewed,2024-02-10,4
CUST002496,PROD0015,purchased,2024-07-23,5
CUST004645,PROD0007,clicked,2024-08-12,4
CUST002484,PROD0021,clicked,2025-04-06,3
CUST004623,PROD0020,viewed,2025-05-18,4
CUST003288,PROD0008,viewed,2025-11-03,4
CUST002431,PROD0001,clicked,2025-03-10,4
CUST001197,PROD0022,viewed,2025-06-06,4
CUST002605,PROD0002,clicked,2025-06-10,1
CUST000569,PROD0014,applied,2024-01-04,1
CUST000669,PROD0011,viewed,2025-05-29,4
CUST003444,PROD0002,purchased,2024-08-15,4
CUST001785,PROD0005,viewed,2025-07-11,3
CUST000936,PROD0005,viewed,2025-07-01,1
CUST000672,PROD0018,clicked,2025-10-18,2
CUST000354,PROD0025,applied,2024-03-16,4
CUST001676,PROD0021,viewed,2024-05-10,1
CUST000862,PROD0024,clicked,2024-11-27,3
CUST000191,PROD0019,applied,2024-12-12,3
CUST000016,PROD0022,clicked,2025-04-27,1
CUST003470,PROD0021,viewed,2024-05-05,3
CUST004635,PROD0005,clicked,2025-09-08,3
CUST002406,PROD0015,clicked,2024-02-18,3
CUST001307,PROD0015,viewed,2025-01-08,4
CUST002435,PROD0016,viewed,2024-11-27,1
CUST002354,PROD0013,viewed,2025-04-30,1
CUST001054,PROD0020,applied,2025-07-14,1
CUST004946,PROD0022,viewed,2024-06-04,2
CUST001185,PROD0019,applied,2025-05-07,3
CUST003002,PROD0010,viewed,2025-08-07,3
CUST003212,PROD0017,viewed,2025-10-22,2
CUST001657,PROD0017,applied,2024-10-31,1
CUST003369,PROD0014,viewed,2024-02-16,1
CUST002344,PROD0022,clicked,2025-05-14,1
CUST004478,PROD0014,clicked,2024-07-28,3
CUST002800,PROD0023,viewed,2024-11-27,3
CUST003653,PROD0012,clicked,2024-07-14,1
CUST003321,PROD0023,viewed,2025-02-19,4
CUST003631,PROD0018,viewed,2025-02-11,4
CUST002274,PROD0013,viewed,2025-05-28,3
CUST000493,PROD0016,viewed,2025-12-31,2
CUST001460,PROD0015,viewed,2025-10-14,4
CUST002430,PROD0019,purchased,2024-11-15,5
CUST000116,PROD0021,purchased,2025-10-25,5
CUST001467,PROD0022,viewed,2024-07-11,4
CUST000639,PROD0014,purchased,2025-01-21,4
CUST004701,PROD0024,viewed,2025-11-30,4
CUST000170,PROD0021,purchased,2025-08-05,4
CUST003448,PROD0022,viewed,2025-09-21,3
CUST004885,PROD0015,purchased,2025-01-29,5
CUST004113,PROD0018,purchased,2025-07-30,5
CUST001849,PROD0015,viewed,2024-06-27,1
CUST003643,PROD0010,viewed,2025-03-24,4
CUST001062,PROD0020,clicked,2024-01-06,3
