customer_id,age,income,credit_score,loan_amount,interest_rate,loan_term,employment_years,num_existing_loans,savings_balance,debt_to_income_ratio,monthly_payment,payment_to_income_ratio,credit_utilization,loan_to_income_ratio,credit_risk_band,repayment_status
CUST000031,25,51209.73,757,17654.89,7.14,48,2,0,2769.3,0.3448,423.92,0.0993,0.755,0.3448,low,0
CUST000032,50,42300.41,648,11180.1,10.7,48,17,0,7557.18,0.2643,287.33,0.0815,0.903,0.2643,medium,0
CUST000033,24,56008.24,700,26985.85,10.5,60,2,1,30482.75,0.4818,580.03,0.1243,0.136,0.4818,low,0
CUST000034,24,44109.74,566,20902.27,13.38,24,2,1,36036.49,0.4739,997.47,0.2714,0.401,0.4739,high,0
CUST000035,61,42014.85,615,24421.73,11.95,24,10,1,44688.2,0.5813,1149.05,0.3282,0.121,0.5813,medium,0
CUST000036,48,58795.63,830,29874.09,7.81,84,23,1,20979.84,0.5081,462.8,0.0945,0.769,0.5081,low,0
CUST000037,52,55044.52,674,8507.79,9.19,84,29,3,24886.02,0.1546,137.7,0.03,0.797,0.1546,medium,0
CUST000038,64,48439.4,684,117941.65,8.9,36,17,0,56282.83,2.4348,3745.03,0.9278,0.337,2.4348,medium,0
CUST000039,56,44955.91,704,26348.67,8.91,12,7,2,11479.63,0.5861,2303.13,0.6148,0.918,0.5861,low,0
CUST000040,49,28972.28,771,42241.56,7.62,84,10,3,21646.35,1.458,650.42,0.2694,0.535,1.458,low,0
CUST000041,38,69979.97,607,62422.22,9.99,48,0,4,77986.48,0.892,1582.89,0.2714,0.558,0.892,medium,0
CUST000042,64,26086.34,726,100134.88,8.07,48,4,2,19998.54,3.8386,2447.88,1.1261,0.664,3.8386,low,0
CUST000043,54,31390.44,634,28560.81,10.25,48,20,3,26738.05,0.9099,727.81,0.2782,0.571,0.9099,medium,0
CUST000044,46,39082.73,555,28033.0,12.93,24,19,4,15480.37,0.7173,1331.82,0.4089,0.566,0.7173,high,0
CUST000045,49,30392.87,717,15496.13,10.02,60,20,2,17771.82,0.5099,329.4,0.1301,0.476,0.5099,low,0
CUST000046,32,98466.38,617,22175.94,11.64,36,8,4,42878.81,0.2252,732.75,0.0893,0.796,0.2252,medium,0
CUST000047,36,70691.65,581,30837.17,12.8,24,0,0,23439.15,0.4362,1463.16,0.2484,0.504,0.4362,medium,0
CUST000048,48,88275.18,551,30054.88,13.64,60,6,3,54601.18,0.3405,693.73,0.0943,0.307,0.3405,high,0
CUST000049,28,55102.33,742,12808.06,9.5,24,1,4,32192.56,0.2324,588.08,0.1281,0.574,0.2324,low,0
CUST000050,30,27059.53,721,32150.74,9.98,72,8,4,19882.54,1.1881,595.3,0.264,0.908,1.1881,low,0
CUST000051,54,54869.99,707,17889.79,9.14,60,28,1,49668.52,0.326,372.58,0.0815,0.503,0.326,low,0
CUST000052,62,54421.48,703,17525.1,8.77,84,33,3,41945.94,0.322,279.92,0.0617,0.333,0.322,low,0
CUST000053,39,113504.59,717,13163.69,8.67,60,2,1,25363.2,0.116,271.15,0.0287,0.426,0.116,low,0
CUST000054,48,65870.71,602,43141.93,11.18,60,14,3,8010.25,0.6549,941.89,0.1716,0.808,0.6549,medium,0
CUST000055,23,82567.22,614,47955.35,12.29,84,1,3,4688.21,0.5808,854.0,0.1241,0.399,0.5808,medium,0
CUST000056,48,59027.07,745,83958.32,8.71,72,17,4,63895.8,1.4224,1501.34,0.3052,0.515,1.4224,low,0
CUST000057,46,43895.86,619,15776.73,10.63,72,12,1,44623.72,0.3594,297.31,0.0813,0.882,0.3594,medium,0
CUST000058,47,33958.19,673,33014.14,10.32,72,0,0,26798.52,0.9722,616.96,0.218,0.215,0.9722,medium,0
CUST000059,46,55520.68,746,27113.88,8.06,48,10,2,51379.62,0.4884,662.69,0.1432,0.422,0.4884,low,0
CUST000060,38,94286.22,658,137599.35,11.34,48,0,4,10361.91,1.4594,3579.09,0.4555,0.909,1.4594,medium,1
CUST000061,63,64961.52,611,14149.92,9.9,12,15,1,65943.29,0.2178,1243.34,0.2297,0.628,0.2178,medium,0
CUST000062,29,60907.56,662,41291.02,10.45,24,7,2,56761.75,0.6779,1913.96,0.3771,0.243,0.6779,medium,0
CUST000063,29,60654.97,674,16186.35,10.85,24,4,0,43397.87,0.2669,753.28,0.149,0.89,0.2669,medium,0
CUST000064,46,24793.05,644,44973.98,10.31,72,6,0,18121.55,1.814,840.23,0.4067,0.806,1.814,medium,0
CUST000065,41,53978.56,580,29849.06,12.95,60,3,4,51281.29,0.553,678.39,0.1508,0.395,0.553,medium,0
CUST000066,54,58302.07,609,29502.64,11.76,12,26,3,9991.21,0.506,2617.96,0.5388,0.917,0.506,medium,0
CUST000067,31,50321.81,588,33345.31,11.55,72,8,2,38158.99,0.6626,644.13,0.1536,0.882,0.6626,medium,0
CUST000068,59,63092.24,766,50629.07,7.49,84,15,0,23392.55,0.8025,776.31,0.1477,0.483,0.8025,low,0
CUST000069,64,26371.75,604,36644.59,11.06,12,31,2,6833.34,1.3895,3239.74,1.4742,0.28,1.3895,medium,0
CUST000070,60,61771.89,721,271478.68,9.68,36,35,0,39788.59,4.3949,8719.12,1.6938,0.262,4.3949,low,0
CUST000071,57,63379.82,770,47686.38,8.87,72,30,3,35835.0,0.7524,856.5,0.1622,0.115,0.7524,low,0
CUST000072,37,65717.86,654,42420.27,9.84,60,11,3,45114.91,0.6455,897.97,0.164,0.392,0.6455,medium,0
CUST000073,44,34621.45,661,20106.17,10.89,36,9,2,10909.87,0.5807,657.2,0.2278,0.713,0.5807,medium,0
CUST000074,33,50860.58,850,8774.81,5.57,72,7,2,44923.76,0.1725,143.65,0.0339,0.93,0.1725,low,0
CUST000075,28,66757.18,550,20268.86,13.5,36,1,2,17113.72,0.3036,687.83,0.1236,0.112,0.3036,high,0
CUST000076,25,80019.67,685,14091.87,9.96,72,1,3,13441.37,0.1761,260.78,0.0391,0.11,0.1761,medium,0
CUST000077,43,35529.31,734,17357.5,7.87,12,8,3,6437.92,0.4885,1508.86,0.5096,0.156,0.4885,low,0
CUST000078,65,54036.03,683,18197.51,8.5,24,36,2,7995.07,0.3368,827.18,0.1837,0.311,0.3368,medium,0
CUST000079,60,128640.23,730,7981.76,9.77,24,33,3,73079.44,0.062,367.47,0.0343,0.476,0.062,low,0
CUST000080,41,53311.35,627,44867.1,11.17,12,19,0,60760.48,0.8416,3968.99,0.8934,0.277,0.8416,medium,0
CUST000081,32,34315.95,670,36424.33,9.32,60,1,1,1821.39,1.0614,761.78,0.2664,0.483,1.0614,medium,0
CUST000082,36,72373.09,583,22011.04,11.2,36,11,3,9542.88,0.3041,722.7,0.1198,0.298,0.3041,medium,0
CUST000083,59,39587.73,627,77596.11,11.44,24,27,0,26771.07,1.9601,3632.46,1.1011,0.65,1.9601,medium,0
CUST000084,26,58820.27,579,46663.48,10.6,84,2,4,53602.99,0.7933,789.21,0.161,0.584,0.7933,high,0
CUST000085,41,127385.13,762,10811.63,8.86,36,16,4,78706.75,0.0849,343.1,0.0323,0.168,0.0849,low,0
CUST000086,42,39422.61,781,17595.5,8.19,12,2,1,45580.33,0.4463,1532.15,0.4664,0.811,0.4463,low,0
CUST000087,65,59857.3,741,15426.49,9.64,60,2,1,35380.21,0.2577,325.04,0.0652,0.654,0.2577,low,0
CUST000088,59,47725.14,420,14550.31,14.91,84,31,0,28182.27,0.3049,280.04,0.0704,0.447,0.3049,high,0
CUST000089,32,43754.26,580,71642.72,11.39,72,7,2,35527.19,1.6374,1378.01,0.3779,0.44,1.6374,medium,1
CUST000090,27,25756.35,644,29098.57,10.06,36,0,3,26906.3,1.1298,939.75,0.4378,0.801,1.1298,medium,0
CUST000091,51,93767.44,565,54062.62,11.94,24,16,2,71828.57,0.5766,2543.4,0.3255,0.524,0.5766,high,0
CUST000092,39,49247.06,601,35499.08,11.63,36,14,3,9339.21,0.7208,1172.81,0.2858,0.927,0.7208,medium,0
CUST000093,32,53614.61,631,28053.85,10.31,12,8,3,8427.71,0.5233,2470.43,0.5529,0.943,0.5233,medium,0
CUST000094,29,41217.12,689,40025.76,10.16,24,7,2,26181.23,0.9711,1849.94,0.5386,0.332,0.9711,medium,0
CUST000095,37,100078.24,580,96743.65,11.77,24,12,1,111101.7,0.9667,4543.68,0.5448,0.532,0.9667,medium,0
CUST000096,39,20364.74,667,38291.77,10.98,84,13,2,22897.82,1.8803,655.25,0.3861,0.532,1.8803,medium,0
CUST000097,41,55628.24,630,23744.99,11.91,60,15,1,31348.15,0.4269,527.11,0.1137,0.512,0.4269,medium,0
CUST000098,46,39267.39,632,44790.94,10.73,36,6,1,27784.32,1.1407,1460.68,0.4464,0.299,1.1407,medium,0
CUST000099,52,57564.25,624,46154.97,11.64,84,12,3,68310.12,0.8018,805.9,0.168,0.774,0.8018,medium,0
CUST000100,24,56290.71,745,39252.77,7.48,60,1,0,59404.65,0.6973,786.17,0.1676,0.474,0.6973,low,0
CUST000101,31,33757.31,635,42124.14,10.53,72,2,0,19913.92,1.2479,791.69,0.2814,0.924,1.2479,medium,0
CUST000102,63,64515.88,678,28865.33,8.68,36,34,3,74016.52,0.4474,913.62,0.1699,0.633,0.4474,medium,0
CUST000103,56,87111.94,632,37356.36,9.47,12,15,2,104276.46,0.4288,3275.02,0.4511,0.735,0.4288,medium,0
CUST000104,62,44757.46,662,52013.89,10.87,12,28,1,37958.86,1.1621,4593.92,1.2317,0.868,1.1621,medium,0
CUST000105,40,71071.19,745,58881.8,8.18,48,4,1,46966.78,0.8285,1442.46,0.2436,0.581,0.8285,low,0
CUST000106,27,49486.33,734,22333.43,9.15,48,4,1,30796.2,0.4513,557.36,0.1352,0.596,0.4513,low,0
CUST000107,51,56719.59,669,28515.34,9.39,12,28,3,61619.64,0.5027,2498.87,0.5287,0.676,0.5027,medium,0
CUST000108,44,64075.71,614,94412.84,12.68,36,20,3,54070.96,1.4735,3166.61,0.593,0.488,1.4735,medium,0
CUST000109,52,31172.52,582,53898.96,10.68,48,18,2,22164.71,1.7291,1384.69,0.533,0.944,1.7291,medium,0
CUST000110,64,69999.84,729,39222.56,8.61,12,36,0,76804.49,0.5603,3422.98,0.5868,0.733,0.5603,low,0
CUST000111,36,48751.39,608,28155.07,11.66,36,3,1,37247.27,0.5775,930.59,0.2291,0.676,0.5775,medium,0
CUST000112,30,36144.4,758,24631.11,8.72,72,0,2,34586.65,0.6815,440.57,0.1463,0.128,0.6815,low,0
CUST000113,40,33810.49,654,34467.04,9.9,48,5,1,6829.17,1.0194,872.52,0.3097,0.558,1.0194,medium,0
CUST000114,39,38037.35,614,31138.88,12.21,36,15,2,34558.58,0.8186,1037.38,0.3273,0.388,0.8186,medium,0
CUST000115,31,54733.7,639,20279.73,11.48,24,6,4,25759.94,0.3705,949.72,0.2082,0.772,0.3705,medium,0
CUST000116,51,54416.49,564,11562.49,11.83,72,21,2,39301.99,0.2125,225.03,0.0496,0.799,0.2125,high,0
CUST000117,36,35479.14,662,32420.45,10.17,60,14,4,15156.94,0.9138,691.55,0.2339,0.619,0.9138,medium,0
CUST000118,51,95216.67,748,24441.48,9.77,36,20,3,17536.75,0.2567,786.02,0.0991,0.139,0.2567,low,0
CUST000119,29,48603.11,599,26606.0,10.31,60,2,3,27785.93,0.5474,569.37,0.1406,0.67,0.5474,medium,0
CUST000120,48,43049.4,705,16377.46,9.66,72,4,3,34575.56,0.3804,300.61,0.0838,0.809,0.3804,low,0
CUST000121,39,61926.65,802,25203.65,6.06,36,6,3,34765.64,0.407,767.43,0.1487,0.301,0.407,low,0
CUST000122,45,58733.78,735,21147.3,8.93,72,11,0,29828.57,0.3601,380.46,0.0777,0.261,0.3601,low,0
CUST000123,51,54221.98,681,28526.98,8.66,24,20,4,63263.89,0.5261,1298.8,0.2874,0.143,0.5261,medium,0
CUST000124,58,34618.57,681,36271.91,9.0,84,35,1,25075.63,1.0478,583.58,0.2023,0.791,1.0478,medium,0
CUST000125,60,94184.85,756,97920.33,6.89,84,9,1,63221.37,1.0397,1472.62,0.1876,0.779,1.0397,low,0
CUST000126,30,34706.89,749,30031.59,7.06,84,3,4,14658.01,0.8653,454.14,0.157,0.248,0.8653,low,0
CUST000127,55,131322.49,615,16255.18,10.04,12,30,3,124062.93,0.1238,1429.39,0.1306,0.536,0.1238,medium,0
CUST000128,61,37431.7,510,19624.75,11.93,84,33,2,21588.69,0.5243,345.7,0.1108,0.919,0.5243,high,0
CUST000129,47,34835.43,692,33026.1,9.44,12,15,3,4685.86,0.9481,2894.92,0.9972,0.169,0.9481,medium,0
CUST000130,39,114036.85,756,19031.63,8.75,60,17,2,55654.55,0.1669,392.76,0.0413,0.608,0.1669,low,0
CUST000131,49,32719.07,719,12183.77,7.92,72,3,4,28758.95,0.3724,213.15,0.0782,0.283,0.3724,low,0
CUST000132,43,111765.3,774,20302.4,9.0,48,13,0,45760.13,0.1817,505.23,0.0542,0.366,0.1817,low,0
CUST000133,65,22676.61,788,25116.39,9.01,12,5,0,3565.09,1.1076,2196.58,1.1624,0.182,1.1076,low,0
CUST000134,57,85563.78,552,18776.76,11.14,60,35,2,70206.39,0.2194,409.56,0.0574,0.449,0.2194,high,0
CUST000135,49,49136.61,683,20536.53,10.94,72,1,2,36384.26,0.4179,390.26,0.0953,0.399,0.4179,medium,0
CUST000136,64,64879.21,594,24700.34,11.57,84,6,2,66318.19,0.3807,430.37,0.0796,0.412,0.3807,medium,0
CUST000137,49,51747.58,721,41231.96,10.12,84,26,4,39100.95,0.7968,687.06,0.1593,0.646,0.7968,low,0
CUST000138,39,29552.13,557,57907.73,10.95,36,9,2,13407.12,1.9595,1894.45,0.7693,0.254,1.9595,high,0
CUST000139,26,56927.93,620,68233.52,10.03,72,0,0,51692.18,1.1986,1265.12,0.2667,0.283,1.1986,medium,0
CUST000140,45,51640.09,774,28015.44,7.45,36,18,4,7627.27,0.5425,870.81,0.2024,0.145,0.5425,low,0
CUST000141,65,123913.2,820,23170.18,5.84,48,42,3,75402.54,0.187,542.45,0.0525,0.476,0.187,low,0
CUST000142,29,75902.65,731,61155.74,8.42,12,4,4,46272.36,0.8057,5331.73,0.8429,0.667,0.8057,low,0
CUST000143,60,31754.33,734,50769.68,7.48,24,19,1,29609.39,1.5988,2284.15,0.8632,0.75,1.5988,low,0
CUST000144,53,22215.98,585,7914.57,12.54,24,8,3,14717.41,0.3563,374.57,0.2023,0.296,0.3563,medium,0
CUST000145,44,43423.97,737,66264.81,7.48,84,1,3,3107.11,1.526,1015.73,0.2807,0.883,1.526,low,0
CUST000146,58,50682.84,810,11753.89,7.01,72,26,2,9247.05,0.2319,200.45,0.0475,0.118,0.2319,low,0
CUST000147,61,22776.35,675,33875.23,9.88,72,23,0,12577.52,1.4873,625.52,0.3296,0.19,1.4873,medium,0
CUST000148,27,48304.86,514,25502.4,12.91,36,5,2,14723.7,0.5279,858.17,0.2132,0.762,0.5279,high,0
CUST000149,55,27254.9,733,33522.06,8.87,84,22,2,24161.09,1.2299,537.13,0.2365,0.796,1.2299,low,0
CUST000150,31,32114.22,638,14249.43,10.01,24,9,1,29681.49,0.4437,657.6,0.2457,0.657,0.4437,medium,0
CUST000151,53,47657.46,756,14891.78,8.27,60,28,4,37622.73,0.3125,303.88,0.0765,0.939,0.3125,low,0
CUST000152,42,61501.75,637,16718.59,9.71,12,15,3,47731.07,0.2718,1467.58,0.2863,0.777,0.2718,medium,0
CUST000153,26,46715.74,597,19299.04,10.99,48,0,0,22145.51,0.4131,498.7,0.1281,0.344,0.4131,medium,0
CUST000154,27,28594.08,837,27478.47,7.11,60,3,3,20512.79,0.961,545.53,0.2289,0.911,0.961,low,1
CUST000155,58,35779.25,697,25149.75,10.02,36,30,4,7996.31,0.7029,811.75,0.2723,0.153,0.7029,medium,0
CUST000156,43,44380.86,729,42383.09,10.37,12,16,1,4216.78,0.955,3733.44,1.0095,0.701,0.955,low,0
CUST000157,61,38610.3,633,22810.33,9.82,36,18,3,20080.63,0.5908,734.1,0.2282,0.388,0.5908,medium,0
CUST000158,63,17398.43,558,61091.29,11.84,36,6,4,14443.07,3.5113,2024.44,1.3963,0.342,3.5113,high,0
CUST000159,60,102768.63,660,38022.53,11.42,36,5,4,83566.71,0.37,1252.39,0.1462,0.879,0.37,medium,0
CUST000160,64,56390.87,850,52667.03,6.18,60,5,2,39065.36,0.934,1022.62,0.2176,0.647,0.934,low,0
CUST000161,65,46278.7,603,10261.27,12.68,12,41,3,29375.95,0.2217,914.97,0.2373,0.115,0.2217,medium,0
CUST000162,43,53720.97,619,11460.34,12.46,48,6,1,64463.72,0.2133,304.39,0.068,0.232,0.2133,medium,0
CUST000163,54,36645.36,593,74034.39,12.45,84,2,2,38765.36,2.0203,1324.79,0.4338,0.625,2.0203,medium,1
CUST000164,33,72892.27,679,65379.66,10.91,84,9,1,64098.58,0.8969,1116.37,0.1838,0.137,0.8969,medium,0
CUST000165,50,50757.55,611,67095.65,11.61,84,23,3,16196.91,1.3219,1170.47,0.2767,0.303,1.3219,medium,0
CUST000166,34,62474.24,597,23999.7,11.16,60,7,3,58404.31,0.3842,523.73,0.1006,0.761,0.3842,medium,0
CUST000167,32,33056.44,569,46896.88,13.07,84,9,1,34839.91,1.4187,854.93,0.3104,0.144,1.4187,high,0
CUST000168,28,115755.73,568,37713.81,12.77,60,6,0,43735.12,0.3258,853.67,0.0885,0.749,0.3258,high,0
CUST000169,31,36578.31,641,18855.57,11.67,12,3,3,39040.92,0.5155,1672.39,0.5487,0.891,0.5155,medium,0
CUST000170,45,33229.86,683,16340.96,9.05,12,11,1,2738.66,0.4918,1429.42,0.5162,0.891,0.4918,medium,0
CUST000171,31,55365.15,675,23309.85,8.91,36,7,1,51083.62,0.421,740.27,0.1604,0.499,0.421,medium,0
CUST000172,23,32584.64,633,42329.3,10.11,84,0,4,36861.69,1.2991,705.12,0.2597,0.618,1.2991,medium,0
CUST000173,37,61415.21,601,28555.34,10.88,12,7,3,48198.32,0.465,2522.17,0.4928,0.629,0.465,medium,0
CUST000174,53,68742.59,546,37272.69,12.87,12,15,1,26463.34,0.5422,3326.82,0.5807,0.101,0.5422,high,0
CUST000175,33,36381.63,725,17018.3,9.49,12,8,2,4650.71,0.4678,1492.15,0.4922,0.547,0.4678,low,0
CUST000176,57,21759.44,549,27690.67,11.08,84,30,0,16994.59,1.2726,475.3,0.2621,0.934,1.2726,high,1
CUST000177,26,55098.35,607,39464.45,10.89,72,0,4,49338.65,0.7163,748.95,0.1631,0.383,0.7163,medium,0
CUST000178,63,23209.48,674,13008.92,9.05,84,29,3,18022.07,0.5605,209.63,0.1084,0.79,0.5605,medium,0
CUST000179,51,36558.67,683,16054.62,8.45,24,1,1,39068.75,0.4391,729.41,0.2394,0.368,0.4391,medium,0
CUST000180,56,41231.18,760,19031.77,8.22,12,12,2,18987.8,0.4616,1657.48,0.4824,0.764,0.4616,low,0
CUST000181,29,71400.59,589,36970.76,12.62,48,6,3,77029.32,0.5178,984.87,0.1655,0.429,0.5178,medium,0
CUST000182,53,93779.9,482,16678.28,13.46,84,17,0,83102.45,0.1778,307.6,0.0394,0.167,0.1778,high,0
CUST000183,56,63556.37,663,33613.65,9.62,12,5,2,51484.29,0.5289,2949.24,0.5568,0.361,0.5289,medium,0
CUST000184,50,37354.43,686,24504.05,9.33,12,23,2,28280.26,0.656,2146.67,0.6896,0.47,0.656,medium,0
CUST000185,25,82909.25,700,32943.91,8.23,72,3,2,53065.98,0.3973,581.32,0.0841,0.737,0.3973,low,0
CUST000186,60,40727.36,640,20753.39,11.23,48,2,1,5185.34,0.5096,538.7,0.1587,0.762,0.5096,medium,0
CUST000187,58,58542.22,646,32011.96,9.18,24,28,2,27972.37,0.5468,1465.1,0.3003,0.749,0.5468,medium,0
CUST000188,47,124732.95,749,22123.28,7.96,36,7,0,9953.73,0.1774,692.86,0.0667,0.258,0.1774,low,0
CUST000189,29,84166.0,647,7919.83,9.85,36,7,1,100647.38,0.0941,254.99,0.0364,0.343,0.0941,medium,0
CUST000190,29,31143.51,530,21787.5,11.81,12,7,1,33743.4,0.6996,1933.86,0.7451,0.478,0.6996,high,0
CUST000191,42,49428.79,814,32733.57,7.72,72,2,4,33290.15,0.6622,569.46,0.1382,0.858,0.6622,low,0
CUST000192,62,44418.21,746,7138.93,7.6,36,32,1,8420.22,0.1607,222.39,0.0601,0.271,0.1607,low,0
CUST000193,23,54503.85,741,11079.46,8.26,60,1,3,53098.25,0.2033,226.03,0.0498,0.569,0.2033,low,0
CUST000194,41,82017.61,707,20969.56,9.05,72,15,4,42847.18,0.2557,378.51,0.0554,0.448,0.2557,low,0
CUST000195,42,65169.83,850,30005.01,6.93,48,14,4,29078.26,0.4604,717.53,0.1321,0.846,0.4604,low,0
CUST000196,33,54813.91,643,16156.75,11.44,24,6,4,60148.35,0.2948,756.34,0.1656,0.147,0.2948,medium,0
CUST000197,32,71228.7,611,28083.56,10.27,72,3,2,81172.63,0.3943,524.1,0.0883,0.541,0.3943,medium,0
CUST000198,34,39539.45,718,32866.11,9.55,60,4,1,30396.97,0.8312,691.05,0.2097,0.622,0.8312,low,0
CUST000199,59,78189.68,639,22881.29,12.04,24,10,4,68707.44,0.2926,1077.53,0.1654,0.614,0.2926,medium,0
CUST000200,23,31557.18,644,33738.01,9.36,72,1,1,29411.38,1.0691,614.19,0.2336,0.454,1.0691,medium,0
CUST000201,62,68916.08,606,45331.78,11.52,72,19,3,22853.23,0.6578,874.97,0.1524,0.786,0.6578,medium,0
CUST000202,25,90222.76,713,82956.98,8.21,48,3,3,25679.79,0.9195,2033.41,0.2705,0.616,0.9195,low,0
CUST000203,44,34606.43,580,9253.6,13.33,24,11,4,24082.58,0.2674,441.37,0.153,0.371,0.2674,medium,0
CUST000204,37,96107.24,732,26020.74,7.78,12,9,3,100315.62,0.2707,2260.86,0.2823,0.455,0.2707,low,0
CUST000205,42,55602.64,589,116710.43,13.02,72,10,1,51576.43,2.099,2344.09,0.5059,0.524,2.099,medium,0
CUST000206,41,51955.85,688,41583.55,9.73,12,12,4,29916.97,0.8004,3650.63,0.8432,0.305,0.8004,medium,0
CUST000207,40,60867.47,697,16742.66,9.54,84,15,2,40610.43,0.2751,273.98,0.054,0.82,0.2751,medium,0
CUST000208,45,60606.7,830,60309.93,7.69,36,1,3,6595.91,0.9951,1881.28,0.3725,0.578,0.9951,low,0
CUST000209,46,100401.66,639,14857.16,10.73,84,17,2,100312.1,0.148,252.29,0.0302,0.63,0.148,medium,0
CUST000210,28,46323.09,684,51870.99,9.5,84,2,4,52335.4,1.1198,847.78,0.2196,0.742,1.1198,medium,0
CUST000211,54,22888.52,802,24469.81,6.08,12,8,2,22306.25,1.0691,2106.93,1.1046,0.541,1.0691,low,0
CUST000212,30,40453.3,599,9967.51,11.0,60,5,1,20303.42,0.2464,216.72,0.0643,0.624,0.2464,medium,0
CUST000213,54,70999.4,685,12407.09,10.78,60,31,4,28027.66,0.1747,268.4,0.0454,0.793,0.1747,medium,0
CUST000214,48,27370.32,653,73233.84,10.69,84,23,0,20156.76,2.6757,1242.04,0.5445,0.326,2.6757,medium,0
CUST000215,59,43616.2,559,23215.01,12.55,72,3,4,26279.46,0.5323,460.53,0.1267,0.546,0.5323,high,0
CUST000216,46,43359.21,464,26040.88,13.16,72,7,0,30718.08,0.6006,524.95,0.1453,0.695,0.6006,high,0
CUST000217,48,44182.3,735,81582.79,7.75,72,6,3,27706.39,1.8465,1420.47,0.3858,0.62,1.8465,low,0
CUST000218,25,81385.65,658,13850.61,10.96,60,1,4,34491.81,0.1702,300.87,0.0444,0.663,0.1702,medium,0
CUST000219,33,156062.51,684,27128.97,9.7,60,5,4,71387.68,0.1738,572.41,0.044,0.756,0.1738,medium,0
